timestamp,percentageNow,timeFuture,percentageFuture
2026-01-06T18:57:51.332Z,51.34020198521137%,2026-01-06T20:47:51.332Z,61.66223233063726%
2026-01-06T19:07:51.334Z,49.637380082194205%,2026-01-06T20:57:51.334Z,60.957213885304185%
2026-01-06T19:09:23.537Z,49.682937377890724%,2026-01-06T20:59:23.537Z,61.09394809793075%
2026-01-06T19:09:23.604Z,49.682937377890724%,2026-01-06T20:59:23.604Z,61.09394809793075%
2026-01-06T19:17:51.408Z,49.26306768884549%,2026-01-06T21:07:51.408Z,61.1955983888282%
2026-01-06T19:24:26.374Z,47.62829250412966%,2026-01-06T21:14:26.374Z,58.74527270172408%
2026-01-06T19:24:26.429Z,47.62829250412966%,2026-01-06T21:14:26.429Z,58.74527270172408%
2026-01-06T19:27:51.439Z,47.5610369693822%,2026-01-06T21:17:51.439Z,58.62739360793788%
2026-01-07T09:45:38.637Z,34.448266458182374%,2026-01-07T11:35:38.637Z,51.75507511622956%
2026-01-07T09:46:30.167Z,34.54915535921664%,2026-01-07T11:36:30.167Z,51.90094272029947%
2026-01-07T09:46:30.192Z,34.54915535921664%,2026-01-07T11:36:30.192Z,51.90094272029947%
2026-01-07T09:55:38.620Z,34.66113146845069%,2026-01-07T11:45:38.620Z,52.20924718728461%
2026-01-07T10:01:30.932Z,31.63245414800405%,2026-01-07T11:51:30.932Z,49.948084041257054%
2026-01-07T10:01:31.012Z,14.158234319880734%,2026-01-07T11:51:31.012Z,10.49783245843442%
2026-01-07T10:01:31.043Z,26.27784759355891%,2026-01-07T11:51:31.043Z,26.294641858995988%
2026-01-07T10:01:31.070Z,26.27784759355891%,2026-01-07T11:51:31.070Z,26.294641858995988%
2026-01-07T10:01:31.108Z,27.014818780940608%,2026-01-07T11:51:31.108Z,27.09871181939136%
2026-01-07T10:05:38.620Z,27.026571284462385%,2026-01-07T11:55:38.620Z,27.11603731495382%
2026-01-07T10:15:38.621Z,28.18401583061394%,2026-01-07T12:05:38.621Z,28.54816362943138%
2026-01-07T10:17:31.759Z,27.79528448180013%,2026-01-07T12:07:31.759Z,24.25972575101398%
2026-01-07T10:17:31.827Z,27.79528448180013%,2026-01-07T12:07:31.827Z,24.25972575101398%
2026-01-07T10:25:38.622Z,27.709017630669326%,2026-01-07T12:15:38.622Z,23.25106685134827%
2026-01-07T10:35:38.623Z,28.10016655847202%,2026-01-07T12:25:38.623Z,22.740066369874647%
2026-01-07T10:45:38.624Z,27.829087691139815%,2026-01-07T12:35:38.624Z,22.71971236398003%
2026-01-07T10:55:38.627Z,27.634427368378734%,2026-01-07T12:45:38.627Z,28.94605292725185%
2026-01-07T11:02:36.702Z,18.0803629214472%,2026-01-07T12:52:36.702Z,21.05272728891022%
2026-01-07T11:02:36.734Z,18.0803629214472%,2026-01-07T12:52:36.734Z,21.05272728891022%
2026-01-07T11:02:36.762Z,18.0803629214472%,2026-01-07T12:52:36.762Z,21.05272728891022%
2026-01-07T11:02:36.813Z,17.784311817528593%,2026-01-07T12:52:36.813Z,20.403075945080694%
2026-01-07T11:02:36.842Z,29.586711100655315%,2026-01-07T12:52:36.842Z,28.33725025124926%
2026-01-07T11:05:38.628Z,29.507449211119035%,2026-01-07T12:55:38.628Z,28.086994887919808%
2026-01-07T11:15:38.631Z,29.99134236130282%,2026-01-07T13:05:38.631Z,27.583533236203706%
