Total_Obs,Day_Obs,Date,Time,Heart.Rate,Max_70_perc
139647,356,2025-07-03,00:46:08,66,136.5
139648,357,2025-07-03,00:46:13,65,136.5
139649,358,2025-07-03,00:46:18,63,136.5
139650,359,2025-07-03,00:46:23,63,136.5
139651,360,2025-07-03,00:46:38,62,136.5
139652,361,2025-07-03,00:46:53,62,136.5
139653,362,2025-07-03,00:47:08,62,136.5
139654,363,2025-07-03,00:47:23,64,136.5
139655,364,2025-07-03,00:47:28,66,136.5
139656,365,2025-07-03,00:47:33,67,136.5
139657,366,2025-07-03,00:47:48,68,136.5
139658,367,2025-07-03,00:47:53,69,136.5
139659,368,2025-07-03,00:48:03,70,136.5
139660,369,2025-07-03,00:48:08,71,136.5
139661,370,2025-07-03,00:48:13,70,136.5
139662,371,2025-07-03,00:48:18,61,136.5
139663,372,2025-07-03,00:48:23,61,136.5
139664,373,2025-07-03,00:48:33,62,136.5
139665,374,2025-07-03,00:48:38,63,136.5
139666,375,2025-07-03,00:48:43,64,136.5
139667,376,2025-07-03,00:48:58,64,136.5
139668,377,2025-07-03,00:49:03,64,136.5
139669,378,2025-07-03,00:49:13,65,136.5
139670,379,2025-07-03,00:49:18,66,136.5
139671,380,2025-07-03,00:49:23,67,136.5
139672,381,2025-07-03,00:49:28,66,136.5
139673,382,2025-07-03,00:49:38,64,136.5
139674,383,2025-07-03,00:49:48,65,136.5
139675,384,2025-07-03,00:49:53,65,136.5
139676,385,2025-07-03,00:49:58,65,136.5
139677,386,2025-07-03,00:50:13,66,136.5
139678,387,2025-07-03,00:50:18,66,136.5
139679,388,2025-07-03,00:50:23,68,136.5
139680,389,2025-07-03,00:50:28,69,136.5
139681,390,2025-07-03,00:50:33,70,136.5
139682,391,2025-07-03,00:50:43,70,136.5
139683,392,2025-07-03,00:50:53,71,136.5
139684,393,2025-07-03,00:51:03,72,136.5
139685,394,2025-07-03,00:51:08,73,136.5
139686,395,2025-07-03,00:51:13,76,136.5
139687,396,2025-07-03,00:51:18,73,136.5
139688,397,2025-07-03,00:51:23,70,136.5
139689,398,2025-07-03,00:51:28,71,136.5
139690,399,2025-07-03,00:51:38,72,136.5
139691,400,2025-07-03,00:51:43,75,136.5
139692,401,2025-07-03,00:51:48,80,136.5
139693,402,2025-07-03,00:51:53,90,136.5
139694,403,2025-07-03,00:51:58,95,136.5
139695,404,2025-07-03,00:52:03,98,136.5
